# FE Release Version: 2.4.24
# pe_spad_1024x16_dp words=1024 bits=16 mux=16 
# drive=6 frequency=100
# ema=on retention=on
name      	ff_1p10v_1p10v_125c	
S		N
geomx     	560.700   
geomy     	104.270   
volt      	1.100     
temp      	125.000   
tcyc0     	0.779     
tcyc1     	0.824     
tcyc2     	0.890     
tcyc3     	0.921     
tcyc4     	999.000   
tcyc5     	999.000   
tcyc6     	999.000   
tcyc7     	999.000   
ta0       	0.515     
ta1       	0.560     
ta2       	0.626     
ta3       	0.656     
ta4       	999.000   
ta5       	999.000   
ta6       	999.000   
ta7       	999.000   
tas       	0.189     
tah       	0.178     
tcs       	0.362     
tch       	0.258     
tws       	0.195     
twh       	0.244     
tds       	0.114     
tdh       	0.203     
tcc0      	0.571     
tcc1      	0.616     
tcc2      	0.682     
tcc3      	0.713     
tcc4      	999.000   
tcc5      	999.000   
tcc6      	999.000   
tcc7      	999.000   
tckh      	0.034     
tckl      	0.074     
tckr      	1.000     
icap_a    	0.004     
icap_clk  	0.031     
icap_cen  	0.003     
icap_d    	0.002     
icap_wen  	0.004     
load_q    	0.214     
icc_p0    	3.147     
icc_p1    	3.193     
icc_p2    	3.261     
icc_p3    	3.283     
icc_p4    	3.339     
icc_p5    	3.358     
icc_p6    	3.371     
icc_p7    	3.385     
icc_p_r0  	3.490     
icc_p_r1  	3.541     
icc_p_r2  	3.610     
icc_p_r3  	3.637     
icc_p_r4  	3.697     
icc_p_r5  	3.718     
icc_p_r6  	3.734     
icc_p_r7  	3.747     
icc_p_w0  	2.804     
icc_p_w1  	2.845     
icc_p_w2  	2.911     
icc_p_w3  	2.930     
icc_p_w4  	2.981     
icc_p_w5  	2.999     
icc_p_w6  	3.008     
icc_p_w7  	3.023     
icc_p_peak	247.210   
icc_p_desel	0.548     
icc_p_standby	7.219     
icc_p_standby_retn	0.000e+00 
icc_c0    	0.141     
icc_c1    	0.142     
icc_c2    	0.142     
icc_c3    	0.142     
icc_c4    	0.142     
icc_c5    	0.142     
icc_c6    	0.142     
icc_c7    	0.142     
icc_c_r0  	0.135     
icc_c_r1  	0.135     
icc_c_r2  	0.135     
icc_c_r3  	0.135     
icc_c_r4  	0.135     
icc_c_r5  	0.135     
icc_c_r6  	0.136     
icc_c_r7  	0.136     
icc_c_w0  	0.148     
icc_c_w1  	0.148     
icc_c_w2  	0.148     
icc_c_w3  	0.148     
icc_c_w4  	0.148     
icc_c_w5  	0.148     
icc_c_w6  	0.148     
icc_c_w7  	0.149     
icc_c_peak	21.122    
icc_c_desel	1.000e-01 
icc_c_standby	2.872     
icc_c_standby_retn	2.978     
pwn_ck    	10.000    
vn_ck     	0.488     
vn_pwr    	0.110     
vn_gnd    	0.110     
# EMA feature specific information.
icap_ema  	0.009     
temas     	0.779     
temah     	0.779     
# MTCMOS feature specific information.
icap_retn 	0.011     
tretnq    	0.183     
tretns    	0.362     
tretnh    	0.258     
tcen_retnh	0.351     
tretn_cenh	0.921     
